First Name,Gender,Senior Management,Team,Start Date,Last Login Time,Salary,Bonus %
Shirley,Female,false,Engineering,01/17/2019,5:15 PM,87528.0,5.103
Ronald,Male,false,Finance,07/14/2020,11:40 AM,55293.0,1.292
Jessica,Male,false,Legal,03/25/1999,12:10 AM,85282.0,6.458
Patricia,Male,false,Finance,05/17/2017,3:15 PM,87059.0,
Deborah,Female,false,Product,04/22/2013,12:35 PM,92492.0,7.02
Daniel,Male,false,Distribution,01/24/2000,6:05 PM,78098.0,7.6
Margaret,Female,false,Finance,11/07/2004,7:10 PM,98670.0,10.854
Jason,Male,false,Client Services,03/13/2022,7:30 AM,123854.0,7.573
Kimberly,Female,false,Finance,02/02/2015,11:00 PM,90799.0,9.696
Paul,Female,false,Human Resources,05/07/1998,5:10 PM,99009.0,6.925
Paul,Male,true,Engineering,12/29/2013,1:55 AM,131234.0,10.538
William,Female,false,Client Services,12/23/2012,6:40 AM,121159.0,9.902
Gary,Male,false,Marketing,04/18/2005,1:40 AM,79269.0,6.7
Gary,Male,true,Product,01/30/2008,2:20 AM,132131.0,9.888
Shirley,Male,false,Sales,06/26/2021,11:05 AM,103236.0,9.681
Kimberly,Male,false,Engineering,02/24/2010,10:40 AM,88025.0,6.908
Ryan,Female,false,Sales,04/25/2014,1:20 AM,90026.0,0.702
Angela,Male,false,Sales,12/03/1998,11:15 AM,108397.0,13.215
Dorothy,Female,false,Distribution,10/30/2022,8:10 AM,107112.0,8.705
Cynthia,Female,false,Finance,09/24/1996,6:40 AM,97655.0,13.157
Jessica,Female,false,Human Resources,02/09/2010,4:25 AM,66649.0,12.803
Cynthia,Male,false,Client Services,12/16/2018,6:55 PM,92756.0,11.48
Brenda,Female,false,Distribution,03/01/2018,12:35 AM,60872.0,9.644
Joshua,Male,false,Business Development,12/12/1996,10:50 AM,98214.0,1.302
Sarah,Male,false,Legal,05/19/2019,4:20 PM,96035.0,4.859
Kenneth,Female,false,Business Development,08/12/2012,1:40 AM,58447.0,10.883
Kimberly,Male,false,Engineering,09/07/2008,7:30 AM,88443.0,5.301
Melissa,Female,false,Sales,12/21/2013,7:30 PM,94903.0,
Andrew,Male,false,Legal,12/04/2001,5:40 PM,90553.0,4.548
Michelle,Male,false,Legal,10/26/2001,11:25 PM,108751.0,12.226
Margaret,Male,false,Distribution,04/01/2020,8:40 PM,85917.0,4.607
Laura,Female,false,Sales,09/21/2009,9:15 PM,73743.0,9.019
Thomas,Female,false,Legal,03/29/2002,7:05 PM,120657.0,7.928
Betty,Female,true,Distribution,04/05/2007,1:30 PM,116736.0,8.05
Nicholas,Male,false,Client Services,06/12/2019,6:15 PM,71584.0,7.05
Kimberly,Male,false,Client Services,02/05/2011,12:20 AM,76355.0,7.161
Jessica,Male,false,Finance,09/15/1997,1:55 PM,92381.0,12.315
Emily,Female,false,Engineering,09/13/2017,4:10 AM,99561.0,7.161
Angela,Female,false,Product,06/11/2010,8:05 PM,81910.0,6.72
Eric,Female,false,Finance,07/20/2014,1:30 PM,99842.0,11.0
Jacob,Female,true,Legal,02/24/2012,10:30 PM,110906.0,0.5
Melissa,Male,false,Client Services,05/06/2001,9:05 PM,76289.0,4.009
Linda,Female,false,Client Services,07/14/2002,12:05 PM,105942.0,8.615
Shirley,Male,true,Legal,02/02/2017,4:10 PM,121451.0,9.907
Dorothy,Female,true,Business Development,04/26/2008,5:10 PM,157808.0,
Steven,Female,false,Legal,11/03/2016,6:20 PM,123033.0,5.015
Mary,Female,true,Product,02/05/2002,3:15 PM,144188.0,8.855
,Male,false,Product,02/10/2015,10:00 AM,81104.0,8.399
Amy,Female,false,Finance,02/23/1998,10:45 PM,100243.0,11.052
Ryan,Female,false,Distribution,06/07/2016,1:25 AM,76041.0,1.625
Jonathan,Male,,Product,11/07/2010,11:10 AM,103123.0,7.145
Ashley,Female,false,Finance,10/12/2005,2:00 PM,79600.0,4.462
Sharon,Female,true,Product,09/30/2005,2:50 PM,111881.0,10.538
Kimberly,Female,false,Legal,01/17/2004,7:20 PM,87216.0,5.25
Donna,Female,false,Client Services,09/07/2016,12:25 AM,95978.0,10.007
Thomas,Female,false,Client Services,03/19/2019,2:50 AM,64660.0,5.006
Jessica,Male,false,Business Development,04/10/2008,12:00 AM,67681.0,6.725
Daniel,Male,false,Engineering,07/29/2010,12:05 AM,62779.0,10.73
Linda,Male,false,Legal,06/07/2001,9:00 AM,102340.0,8.032
Mark,Male,false,Client Services,07/09/2011,2:35 PM,129823.0,4.797
Donald,Female,true,Business Development,01/25/2013,1:25 PM,119294.0,11.307
Eric,Female,false,Human Resources,10/24/2013,7:55 AM,91745.0,5.674
Barbara,Female,true,Sales,12/26/2009,12:05 PM,137065.0,15.508
Barbara,Male,true,Business Development,01/22/2003,5:45 PM,136239.0,9.311
Donna,Female,false,Marketing,05/28/2002,4:20 PM,140716.0,4.199
Stephanie,Female,true,Distribution,05/01/2011,5:50 PM,130046.0,8.129
Ryan,Male,false,Human Resources,04/29/1995,3:55 AM,53901.0,5.09
Eric,Female,false,Product,08/20/1998,7:30 AM,112912.0,7.993
Matthew,Male,false,Client Services,04/17/1999,11:50 AM,73569.0,9.476
Rebecca,Female,false,Marketing,10/02/2014,9:05 PM,76443.0,3.764
Dorothy,Female,false,Distribution,09/29/2010,8:15 AM,66976.0,11.574
Susan,Male,false,Engineering,05/10/2002,3:15 AM,99457.0,3.803
Christopher,Female,false,Product,10/08/2015,2:50 PM,52555.0,14.806
Barbara,Female,true,Human Resources,08/14/2016,5:25 AM,91935.0,6.045
,Female,false,Sales,01/25/1999,7:50 AM,92118.0,3.274
Christopher,Female,true,Business Development,05/26/2023,6:05 PM,141942.0,0.912
Charles,Female,true,Legal,06/16/2017,3:35 PM,140553.0,10.586
Stephanie,Male,false,Engineering,02/05/2017,10:40 AM,105995.0,12.092
William,Male,false,Marketing,08/21/2007,5:20 AM,37823.0,0.551
Carol,Female,false,Engineering,02/05/1999,9:15 AM,122175.0,7.904
Ronald,Male,true,Sales,10/20/2005,6:20 AM,128956.0,17.61
Sharon,Female,true,Marketing,09/24/2011,3:50 PM,102626.0,11.613
Joseph,,false,Sales,02/07/2000,11:15 AM,77370.0,16.049
Joseph,Female,true,Business Development,10/21/2013,12:45 AM,104604.0,15.478
Lisa,Male,true,Finance,10/29/2002,5:35 AM,116872.0,10.293
Steven,Male,false,Distribution,11/18/2006,3:10 PM,117812.0,6.831
James,Female,false,Distribution,08/20/2010,5:05 PM,81521.0,6.381
Melissa,Female,false,Sales,10/02/2002,5:10 AM,125721.0,6.526
Mark,Female,false,Sales,12/19/2021,4:25 AM,104925.0,9.325
Patricia,Female,false,Client Services,08/28/2019,9:55 AM,115746.0,5.332
Ronald,Male,false,Legal,08/08/1999,4:55 AM,72942.0,5.057
Susan,Female,false,,08/09/2014,1:15 PM,90134.0,9.704
David,Male,false,Legal,11/23/2005,5:35 PM,116207.0,7.583
Lisa,Male,false,Business Development,11/06/2002,11:15 PM,101675.0,11.111
Deborah,Female,true,Engineering,10/26/2014,4:15 AM,125003.0,6.516
Dorothy,Male,false,Engineering,08/27/2010,2:40 AM,108770.0,8.697
Jennifer,Female,true,Marketing,07/12/2017,12:20 AM,117719.0,17.768
Kathleen,Male,false,Engineering,07/18/2013,12:40 AM,102794.0,5.0
Patricia,Male,false,Marketing,09/21/2003,8:45 AM,71213.0,4.119
Patricia,Male,true,Sales,07/25/2021,11:15 AM,90236.0,11.039
Jennifer,Female,false,Marketing,01/11/2015,5:05 AM,70914.0,4.032
Elizabeth,Male,false,Distribution,01/17/2000,5:30 PM,69510.0,6.172
Charles,Female,false,Human Resources,02/16/1995,12:30 AM,99525.0,3.473
David,Female,true,Client Services,09/26/2023,1:55 AM,129715.0,13.121
Margaret,Male,true,Client Services,02/08/2002,1:25 PM,128879.0,12.907
Eric,Female,true,Marketing,07/01/2011,10:30 PM,133842.0,11.794
Amanda,Female,false,Distribution,06/26/1997,12:10 AM,66335.0,4.063
Rebecca,Male,false,Distribution,12/05/2017,11:35 PM,82674.0,5.227
Christopher,Female,false,Marketing,03/05/1997,7:50 AM,96606.0,7.601
Richard,Female,true,Sales,06/05/2018,11:40 PM,119813.0,8.371
Sarah,Male,true,Client Services,01/11/2010,8:05 AM,81618.0,12.413
Eric,Male,false,Sales,05/04/2004,3:50 PM,73502.0,4.788
William,,false,Client Services,08/05/2003,8:15 AM,88131.0,10.719
Laura,Female,false,Engineering,11/09/2002,10:25 PM,97427.0,2.757
Mary,Female,false,Legal,08/26/2000,1:00 AM,68371.0,5.469
Jonathan,Male,false,Marketing,08/12/2001,11:10 AM,84031.0,7.595
Richard,Female,false,Distribution,01/10/2000,3:40 PM,76700.0,5.992
John,Male,false,Client Services,05/22/2004,10:05 PM,76996.0,9.122
Michael,Male,true,Marketing,04/26/2019,3:00 PM,125022.0,14.059
,Male,false,Legal,02/18/2016,1:30 PM,109423.0,12.994
Daniel,Female,false,Business Development,11/23/2008,3:00 AM,76520.0,7.78
Lisa,Female,false,Distribution,09/24/2004,1:55 AM,67724.0,13.285
Nancy,Male,false,Business Development,03/03/2022,12:30 PM,106424.0,11.182
Ashley,Male,true,Sales,10/23/1997,2:45 AM,121627.0,11.679
Dorothy,Male,false,Business Development,10/22/2000,8:55 PM,106972.0,7.843
Anthony,Male,false,Engineering,12/22/2002,4:00 PM,81203.0,4.932
Anthony,Male,false,Finance,05/25/2018,7:50 AM,118784.0,6.283
Lisa,Male,true,Human Resources,08/02/2009,10:40 AM,88046.0,9.358
Kenneth,Male,true,Finance,05/14/1998,9:00 PM,127744.0,7.818
Matthew,Female,false,Finance,08/29/2014,4:40 AM,108799.0,11.532
Anthony,Female,false,Finance,12/28/2014,7:35 AM,88113.0,8.971
Andrew,Male,false,Finance,01/20/1996,8:50 PM,95688.0,6.455
Paul,Female,false,Marketing,04/05/2010,10:15 AM,107972.0,18.81
Jonathan,Female,false,Finance,11/16/2000,1:40 PM,87213.0,10.267
Rebecca,Male,true,Product,07/07/2006,4:10 PM,126525.0,14.473
Jacob,Female,true,Marketing,03/21/1997,4:25 PM,133313.0,11.494
Edward,Male,false,Distribution,09/04/2018,7:20 PM,82047.0,7.879
Nancy,Male,false,Distribution,11/20/1998,12:30 PM,76707.0,4.224
Karen,Male,false,Human Resources,10/04/2015,1:00 AM,101131.0,2.861
Amy,Female,false,Legal,06/22/1999,8:30 AM,79834.0,9.471
Brenda,Male,false,Business Development,03/16/2000,1:50 PM,82612.0,6.165
Susan,Male,false,Engineering,03/17/1995,2:35 PM,100779.0,9.7
Shirley,Female,false,Legal,04/24/1999,8:00 AM,96071.0,7.107
Brenda,Female,false,Business Development,03/21/2011,3:00 PM,72117.0,7.023
Betty,Male,false,Distribution,11/23/1995,12:00 AM,119104.0,5.659
Nancy,Male,false,Sales,10/15/2016,2:45 AM,57173.0,4.242
Deborah,Female,false,Distribution,08/05/2009,10:45 AM,92999.0,4.836
Ashley,Male,false,Engineering,05/12/2021,4:55 AM,105534.0,11.681
Jeffrey,Male,false,Business Development,11/14/2010,4:10 PM,84145.0,
Carol,Male,false,Product,01/22/2012,11:00 PM,49368.0,8.453
Anna,Female,false,Business Development,09/10/2016,6:20 PM,103095.0,8.478
Brian,Female,true,Human Resources,09/13/2013,11:40 PM,102126.0,11.813
Anna,Female,false,Finance,10/24/2022,2:40 PM,57289.0,6.807
Carol,Female,false,Sales,08/13/2019,4:00 AM,88866.0,7.006
Margaret,Female,true,Finance,01/17/2006,7:30 PM,113062.0,9.349
Barbara,Female,false,Engineering,05/31/1996,11:00 PM,58583.0,14.793
Edward,Male,false,Sales,08/30/2015,2:45 PM,65030.0,7.203
Paul,Female,false,Engineering,07/13/2001,3:15 AM,67622.0,15.224
Christopher,Male,false,Client Services,04/29/2008,8:35 PM,56375.0,6.939
Donna,Male,false,Distribution,06/13/2009,12:55 PM,42090.0,11.983
Mary,Female,false,Finance,10/04/2020,4:15 AM,119233.0,11.06
Daniel,Male,false,Product,11/24/2003,4:45 AM,80759.0,4.656
Patricia,Male,false,Legal,01/27/1999,7:25 PM,106398.0,11.778
Laura,Female,false,,08/25/2006,2:40 PM,99139.0,8.565
Kimberly,Male,false,Engineering,04/08/2006,7:25 AM,78790.0,9.787
Deborah,Male,true,Engineering,12/07/2023,1:50 PM,121385.0,9.434
Sarah,Male,true,Marketing,07/14/2009,11:10 PM,103128.0,9.407
Angela,Male,true,Product,07/19/2001,8:35 AM,96698.0,10.107
Anna,Female,false,Engineering,08/07/2005,8:05 AM,99179.0,11.281
Joseph,Male,false,Product,04/14/1999,8:20 PM,97025.0,7.461
Carol,Female,false,Client Services,07/03/2000,4:05 AM,102600.0,9.99
Joshua,Male,true,Finance,06/19/2011,7:00 PM,127741.0,9.76
Sarah,Female,false,Marketing,02/01/2014,4:25 AM,80713.0,3.604
Daniel,Male,false,Engineering,12/01/2019,6:15 PM,77412.0,10.978
Robert,Female,true,Legal,07/23/2009,3:50 AM,118663.0,3.857
Matthew,Female,false,Distribution,02/18/2002,4:20 PM,89736.0,15.191
Nancy,Male,false,Client Services,09/13/2011,9:20 PM,68184.0,5.201
Robert,Female,false,Sales,10/28/2005,7:55 AM,95495.0,6.682
Anthony,Female,true,Distribution,05/07/2007,5:25 PM,139190.0,18.962
Michael,Female,false,Legal,01/22/2006,4:00 PM,63445.0,10.753
Donald,Male,false,Sales,03/22/2003,7:35 AM,72272.0,1.515
Timothy,Female,false,Finance,10/06/1996,1:05 AM,81352.0,5.803
Nicholas,Female,false,Sales,04/30/2000,6:55 PM,93732.0,4.759
Amanda,Female,false,Engineering,04/02/2018,7:55 PM,77401.0,7.4
Kenneth,Female,false,Business Development,12/12/2015,7:45 PM,67161.0,2.555
Dorothy,Female,false,Finance,02/25/2022,5:50 AM,64988.0,6.624
Kimberly,Female,false,Distribution,10/10/2008,5:55 PM,100703.0,10.517
Charles,Male,false,Business Development,10/23/2009,12:05 AM,67320.0,8.052
Jason,Female,true,Legal,11/17/2019,2:40 AM,88924.0,6.648
Paul,Male,false,Legal,03/10/2003,6:00 AM,107271.0,1.236
Thomas,Male,true,Legal,03/19/2002,7:00 PM,119305.0,8.284
Ryan,Female,false,Human Resources,04/04/2022,8:55 AM,89420.0,9.496
Emily,Male,false,Engineering,12/06/2012,1:45 AM,61956.0,3.372
Anna,Female,false,Engineering,07/23/2001,8:30 AM,70416.0,7.823
Linda,Female,false,Legal,05/23/1995,5:40 AM,85043.0,7.375
Karen,Female,false,Finance,10/26/2013,11:45 AM,95226.0,8.282
Jeffrey,Male,false,Product,09/09/2009,4:15 AM,90456.0,8.983
Kenneth,Female,false,Product,02/23/2018,10:30 PM,91609.0,8.8
Amanda,Female,false,Engineering,09/27/2023,10:00 AM,103261.0,17.959
Michelle,Female,false,Client Services,08/12/2010,1:00 PM,109578.0,6.341
Kenneth,Male,false,Legal,06/07/2013,2:35 PM,141580.0,6.717
Laura,Male,false,Marketing,10/03/2007,5:40 PM,82811.0,7.377
Amanda,Male,false,Human Resources,11/29/2009,3:00 PM,81298.0,3.549
Anthony,,false,Marketing,03/20/2003,12:25 PM,95646.0,7.772
Jennifer,Male,true,Human Resources,12/30/2005,7:05 PM,123280.0,5.796
James,Female,false,Marketing,03/27/1995,8:10 AM,74024.0,9.61
William,Male,false,Human Resources,07/17/2008,3:20 AM,61108.0,14.387
Betty,Female,false,Distribution,12/30/2000,12:05 AM,78516.0,6.331
Brenda,Female,false,Engineering,09/03/2015,9:25 PM,91432.0,4.306
Jacob,Female,false,Distribution,11/07/2009,3:50 AM,79651.0,9.054
Susan,Female,false,Sales,01/08/2004,12:20 AM,85314.0,8.936
Kimberly,Female,false,Business Development,10/26/2001,12:05 PM,78236.0,5.438
,Female,false,Human Resources,10/11/2018,3:30 AM,103833.0,7.777
Emily,Female,false,Legal,09/19/2006,12:55 PM,96241.0,8.824
Kenneth,Male,false,Client Services,01/12/2005,6:55 AM,67147.0,8.986
Andrew,Female,true,Business Development,10/05/1997,9:35 PM,90112.0,11.536
Betty,Female,false,Engineering,01/03/2008,8:15 AM,144749.0,11.032
Rebecca,Male,true,Business Development,07/14/2000,7:35 AM,107584.0,
Shirley,Male,false,Business Development,07/26/2003,2:25 AM,67347.0,3.857
Matthew,Male,false,Marketing,11/06/2000,11:05 PM,120265.0,9.103
Susan,Male,true,Client Services,02/24/2015,11:15 PM,81435.0,11.906
Amanda,Male,true,Human Resources,08/30/2022,1:05 PM,106268.0,11.633
Patricia,Male,true,Human Resources,01/16/1999,4:25 PM,95849.0,7.959
Kimberly,Female,false,Marketing,10/16/2005,5:00 AM,91038.0,3.212
Sarah,Male,false,Distribution,09/27/2010,10:40 AM,87973.0,2.672
Jonathan,Male,true,Business Development,02/22/2008,5:20 PM,105823.0,5.262
David,Female,false,Legal,08/12/2010,1:10 PM,55102.0,6.893
Charles,Male,false,Human Resources,11/16/2023,4:10 AM,82395.0,4.144
Jessica,Female,false,Business Development,02/17/2008,11:05 PM,67041.0,5.356
Carol,Male,false,Legal,03/30/2016,7:15 PM,104445.0,8.73
Michelle,Male,false,Legal,10/25/2009,4:20 AM,89817.0,5.068
Ronald,Female,false,Legal,06/11/2010,9:00 AM,60220.0,7.806
Karen,Male,false,Sales,12/08/2008,12:15 PM,77104.0,
Daniel,Male,false,Sales,03/30/2000,4:10 PM,72193.0,12.583
Anna,Female,false,Legal,08/25/2022,2:20 AM,76841.0,4.345
Ryan,Female,false,Client Services,01/17/2001,2:05 AM,91480.0,13.953
Ryan,Female,true,Sales,05/24/2006,9:35 AM,140654.0,11.646
Anthony,Male,false,Engineering,08/24/2011,1:05 AM,77979.0,9.54
Barbara,Male,false,Sales,07/27/2008,12:50 PM,86512.0,5.584
Joseph,Male,true,Engineering,12/05/1997,5:45 PM,105834.0,11.386
Nancy,Male,false,Client Services,01/12/2013,8:40 AM,77182.0,9.644
Kevin,Male,false,Finance,02/04/2004,9:40 PM,96606.0,14.03
Andrew,Female,false,Legal,04/29/2004,2:45 PM,87149.0,8.684
Michelle,Male,false,,04/09/2005,8:55 PM,68767.0,5.747
Donna,Female,false,Engineering,03/04/2006,10:55 AM,79221.0,10.082
David,Female,false,Sales,07/01/2013,5:45 PM,75670.0,
James,Female,true,Client Services,08/03/2009,1:50 AM,90179.0,9.922
Jeffrey,Female,true,Marketing,02/08/2006,12:25 PM,93415.0,
Paul,Male,false,Distribution,04/01/2002,11:30 AM,96716.0,10.061
,Male,false,Marketing,01/26/1996,1:40 AM,72550.0,8.635
Mary,Male,false,Legal,06/30/2006,3:35 AM,54394.0,7.449
Stephanie,Male,false,Finance,08/22/2020,11:10 PM,45169.0,6.317
Nicholas,Female,false,Legal,09/27/2012,1:55 PM,95233.0,11.592
Angela,Female,false,Client Services,01/24/2005,11:25 AM,102527.0,15.968
Nicholas,Male,true,Distribution,04/21/2009,5:00 AM,95252.0,13.362
Linda,Male,false,Distribution,05/29/1998,2:50 AM,72626.0,6.769
Susan,Male,true,Business Development,09/13/1997,2:00 PM,121920.0,12.455
William,Female,true,Engineering,02/08/2017,4:10 PM,136371.0,8.028
Daniel,Male,false,Client Services,10/20/2004,1:10 AM,96106.0,10.614
Carol,Male,false,Engineering,06/07/1999,7:10 PM,78680.0,5.317
Ronald,Female,false,Finance,08/08/2016,11:40 PM,108316.0,8.706
Stephen,Male,,Engineering,02/22/2006,7:50 PM,125500.0,9.168
Kathleen,Female,false,Engineering,10/03/2009,12:40 PM,90856.0,6.614
Mary,Female,false,Client Services,12/17/2002,8:15 AM,68872.0,9.264
Edward,Female,true,Business Development,11/19/1995,1:25 PM,103535.0,5.791
Donald,Female,false,Finance,09/10/2018,10:40 PM,85459.0,11.715
Michael,Female,false,Sales,09/14/2009,11:25 PM,72788.0,4.252
Stephen,Male,true,Finance,09/27/2006,10:50 PM,110582.0,10.777
Angela,Male,false,Sales,10/06/1998,12:50 AM,98943.0,5.453
Donna,Female,false,Distribution,09/18/2000,2:15 AM,57788.0,12.471
Deborah,Female,false,Product,11/25/2007,4:35 AM,91616.0,1.038
Richard,Male,false,Sales,03/20/2004,8:40 AM,80317.0,11.107
Charles,Male,false,Marketing,03/12/2013,12:30 AM,90994.0,7.58
Angela,Male,false,Human Resources,08/05/2018,6:00 PM,80140.0,13.68
Robert,Female,false,Human Resources,09/16/1996,7:10 PM,87725.0,14.825
Mary,Male,false,Business Development,04/22/2022,2:35 AM,75918.0,12.927
Mary,,true,Product,07/13/1995,10:00 PM,123613.0,10.609
Sharon,Male,false,Marketing,10/17/2001,12:40 PM,77362.0,7.906
Emily,Female,false,Finance,02/26/2011,4:55 AM,79069.0,6.483
Rebecca,Female,false,Business Development,08/12/2022,12:15 PM,57878.0,13.289
Jeffrey,Female,false,Finance,11/11/2020,11:55 PM,76459.0,11.037
Shirley,Female,true,Sales,07/12/2007,12:15 AM,134683.0,6.051
Sharon,Female,true,Engineering,12/26/2015,5:10 PM,102165.0,9.662
Nancy,Male,false,Product,09/04/2008,2:50 AM,102889.0,6.564
Patricia,Female,false,Sales,08/08/2010,4:05 AM,97332.0,6.454
Jeffrey,Male,false,Human Resources,03/25/2000,10:45 AM,95139.0,5.692
Eric,Female,true,Sales,04/25/2012,6:45 AM,103203.0,10.536
David,Male,true,Business Development,04/13/2009,8:35 AM,57709.0,10.633
George,Female,false,Sales,03/20/2022,12:15 AM,79081.0,10.146
Susan,Male,false,Product,08/16/2001,8:35 AM,90866.0,8.408
Anthony,,true,Product,11/20/2022,7:45 AM,135589.0,16.929
Karen,Male,false,Finance,02/18/2006,5:15 AM,71463.0,8.531
Margaret,Male,false,Human Resources,06/12/2021,1:05 PM,105089.0,6.303
Melissa,Male,true,Finance,10/18/1998,8:30 PM,146224.0,9.801
Donald,Male,true,Legal,06/27/2014,2:15 PM,97325.0,9.231
Brenda,Male,false,Legal,04/27/2014,4:50 AM,80312.0,5.913
John,Female,false,Marketing,04/06/2021,10:15 PM,76518.0,2.559
Amy,Male,false,Human Resources,01/24/2021,5:35 AM,47122.0,2.702
Sharon,Female,false,Sales,01/01/2002,9:50 AM,89880.0,5.578
James,Female,false,Product,12/08/2023,12:50 PM,63733.0,13.59
Sharon,Male,false,Distribution,11/20/2008,12:25 AM,55262.0,8.231
Kathleen,Female,false,Engineering,10/30/2017,11:00 AM,80317.0,5.6
Amy,Male,false,Client Services,04/27/2004,6:35 PM,92574.0,2.058
Edward,Female,false,Client Services,09/26/2013,10:50 AM,77913.0,4.966
Kenneth,Male,false,Distribution,06/05/2017,10:50 PM,96210.0,3.024
Kathleen,Female,false,Human Resources,10/28/2023,1:40 PM,60987.0,7.339
Anthony,Male,false,Client Services,08/11/1997,12:35 AM,85103.0,10.968
Joseph,Male,false,Marketing,10/29/2014,11:05 AM,88617.0,0.5
James,Male,false,Engineering,03/25/2003,5:00 AM,97691.0,12.901
George,,false,Product,12/26/2019,6:30 PM,98723.0,10.064
Melissa,Female,false,Marketing,12/14/2002,9:45 PM,89143.0,7.813
Ronald,Male,,Marketing,09/24/2021,1:30 PM,81727.0,6.898
Emily,Male,false,Business Development,07/12/2000,7:45 AM,123977.0,5.626
Jennifer,Female,false,Human Resources,06/08/2022,8:40 PM,95763.0,8.755
Emily,Female,false,Marketing,09/01/2013,4:50 AM,77793.0,4.324
Lisa,Male,true,Product,11/03/1998,11:50 PM,108708.0,11.632
Shirley,Male,false,Human Resources,08/30/2013,11:20 PM,75468.0,2.792
Stephanie,Female,true,Sales,01/31/1998,2:55 AM,140699.0,6.972
Steven,Male,false,Finance,04/26/2003,1:05 PM,113135.0,8.32
Paul,Male,false,Product,11/03/2016,3:55 PM,62395.0,4.303
Karen,Male,false,Legal,11/30/2002,3:25 AM,70564.0,8.66
William,Female,false,Marketing,11/30/1996,4:10 PM,112582.0,2.754
Eric,Male,false,Engineering,02/17/1996,8:15 AM,76072.0,11.702
Jeffrey,Female,false,Legal,10/28/2000,8:30 PM,95815.0,0.5
Deborah,Female,false,Client Services,02/11/1998,11:30 PM,68560.0,9.254
Matthew,Male,true,Engineering,09/12/2007,1:05 PM,140701.0,12.755
William,Male,true,Legal,11/05/2019,6:00 AM,122426.0,11.126
Sharon,Female,false,Marketing,10/15/2015,10:55 PM,76758.0,13.748
Edward,Female,false,Marketing,04/13/2003,6:25 AM,106859.0,4.857
Richard,Female,false,Product,01/15/2018,8:25 PM,101620.0,8.521
Matthew,Male,false,Business Development,06/30/2017,11:55 AM,117953.0,6.396
Brian,Female,true,Product,07/11/2009,10:25 AM,119060.0,9.241
David,Male,true,Finance,08/27/2019,8:25 AM,121005.0,12.451
Charles,Male,false,Finance,01/11/2023,2:45 PM,63388.0,6.488
Matthew,Male,false,Sales,11/22/2006,3:15 AM,71697.0,0.5
Kevin,Female,false,Distribution,12/02/2016,4:10 PM,74888.0,8.236
John,Male,false,Engineering,08/05/2017,8:15 AM,104097.0,4.383
Joseph,Female,false,Human Resources,08/18/2021,2:55 AM,84194.0,3.802
Robert,Male,false,Product,10/20/2010,11:20 AM,114619.0,11.083
Joshua,Male,false,Finance,12/14/2008,10:45 PM,75823.0,8.595
Mark,Female,false,Sales,03/20/2001,1:40 PM,75310.0,7.707
Karen,Male,true,Engineering,11/15/2017,1:25 AM,95503.0,12.484
Barbara,Female,false,Legal,10/08/2021,9:10 PM,106923.0,14.485
Mary,Male,false,Legal,12/20/1998,3:40 AM,105646.0,8.964
Kenneth,Female,false,Distribution,10/05/2001,4:55 AM,57719.0,13.649
Ryan,Female,false,Client Services,01/19/2001,10:00 AM,70382.0,2.749
Gary,Male,false,Engineering,04/10/2008,10:20 AM,99302.0,5.399
Andrew,Female,false,Human Resources,05/31/2007,12:00 AM,104802.0,10.775
Nancy,Female,false,Finance,01/13/2008,6:25 AM,101999.0,9.478
John,Male,true,Distribution,01/02/2007,8:45 PM,93164.0,7.41
James,Female,false,Client Services,08/19/2004,4:45 PM,87404.0,0.5
James,Female,false,Client Services,09/22/2007,10:35 AM,100904.0,6.875
Jennifer,Male,true,Client Services,01/08/2014,10:05 AM,90411.0,2.658
Michelle,Female,true,Business Development,07/07/1997,3:55 AM,139451.0,9.553
Melissa,Male,false,Client Services,09/12/2020,6:15 AM,92717.0,3.694
Donna,Female,false,Product,12/11/2000,10:55 AM,99353.0,2.997
Timothy,Female,false,Sales,01/22/2010,7:30 AM,69704.0,8.627
Kathleen,Female,true,Legal,11/07/2021,2:45 PM,133818.0,14.209
Paul,Female,false,Client Services,06/10/2019,9:35 AM,123091.0,6.808
Andrew,Male,false,Human Resources,01/25/2015,4:25 AM,65325.0,8.11
Brenda,Female,false,Sales,05/06/2013,6:50 AM,83561.0,
William,Female,false,Finance,07/12/1998,5:40 AM,62325.0,10.566
Linda,Male,false,Legal,04/14/2020,7:00 AM,110824.0,6.434
Paul,Male,false,Human Resources,09/01/1999,5:15 PM,84334.0,6.383
Melissa,Female,false,Product,04/21/2004,5:20 PM,84541.0,8.235
Edward,Female,false,Engineering,04/19/2013,3:05 PM,55970.0,7.484
Michelle,Female,false,Client Services,01/29/2006,1:10 AM,111192.0,5.95
Thomas,Female,false,Engineering,09/16/2017,7:35 PM,117650.0,3.395
Jennifer,Female,false,Product,02/26/2013,5:55 AM,71861.0,0.948
Sarah,Male,false,Product,08/09/1999,4:05 PM,71370.0,4.013
Ryan,Male,false,Marketing,07/30/1995,7:30 AM,65128.0,8.086
Kimberly,Male,false,Human Resources,04/23/2020,10:30 PM,72552.0,2.869
Sarah,Female,false,Business Development,02/08/1998,9:45 PM,94626.0,10.332
Linda,Male,false,Human Resources,05/11/2013,1:10 PM,73280.0,8.335
Anna,Male,false,Business Development,03/16/2009,8:35 AM,70000.0,6.445
Sharon,Male,false,Finance,11/03/2012,8:10 AM,76654.0,5.801
Joseph,Female,false,Marketing,12/17/2013,6:40 PM,115129.0,7.398
